### wake--->noradrenaline NREM--->GABA REM--->acetylcholin 
time	hypnogram	wake_F	wake_C	NREM_F	NREM_C	REM_F	REM_C	homeostatic
62220	1	5.459664612456061	0.798706012965848	0.1514804843593532	0.03655060361151224	0.0007552855306880623	0.003516424372774807	0.9162180947625047
62240	1	5.461381051267632	0.7978133352953124	0.15481914725304322	0.03870889207428132	0.008392784517621035	0.005378221156389358	0.9162661899995502
62260	1	5.452395565037637	0.7974466032718537	0.15925723645619058	0.03999538209390683	0.01463335719860231	0.004752471151544751	0.9163142576273932
62280	1	5.476684401239145	0.7978200913387808	0.17835222389117686	0.04175642444239139	0	0.004509568656761823	0.9163622976618776
62300	1	5.497462530152603	0.7986358390265552	0.19171676895792406	0.04537657608434576	0.002986229626292864	0.0025834835714138005	0.916410310118847
62320	1	5.508992248567922	0.7997567042195445	0.18741197521111197	0.0477184847952755	0.002997774941743271	0.0018801770632061127	0.9164582950141306
62340	1	5.491888502199271	0.8002069063701814	0.1538762562077484	0.04267749532239756	0.006865804951366284	0.003431011428631295	0.9165062523635498
62360	1	5.485950600226131	0.7999549180436021	0.1620257309426519	0.0403004010568504	0.0034959309204006645	0.0026127080221432166	0.9165541821829195
62380	1	5.481843129482042	0.7993788503878744	0.15527770361469626	0.039861083394618364	0.021659734538815784	0.008405684059636898	0.9166020844880439
62400	1	5.466001010841262	0.7987441390312991	0.15771964940336777	0.03882627609032287	0.024247431323738092	0.008718527822472332	0.916649959294714
62420	1	5.454526972738153	0.7978236606304688	0.17203331326905016	0.03973883474337756	0.004725974797552639	0.005866871138790144	0.916697806618719
62440	1	5.458367018870464	0.7976566258919355	0.1693949526133957	0.04116418024931503	0.023921874575258302	0.005790855368496128	0.9167456264758336
62460	1	5.4568572811334075	0.7976478294762693	0.13740737257764934	0.03881627478016759	0.021160483630628057	0.009673312574655512	0.9167934188818231
62480	1	5.508478443863486	0.7984139177016766	0.14180096223208427	0.034600056427988087	0.020579436633532105	0.008916503066101067	0.9168411838524498
62500	1	5.50891045787261	0.7998824093536582	0.16467278052385062	0.03962594387803516	0.015218758174070262	0.007643160959795427	0.9168889214034621
62520	1	5.507448800761957	0.800682462940158	0.17286159243962437	0.04210530702945717	0.02502459339910412	0.009490321939402918	0.9169366315505987
62540	1	5.5208637039965325	0.8011032314954493	0.16034817298680867	0.04109681038718096	0.014203125044745891	0.013055781683810072	0.9169843143095933
62560	1	5.5347716143807455	0.8019190103297366	0.1620366261193646	0.0401795597156722	0.011031691517833947	0.005632454042330262	0.9170319696961678
62580	1	5.5046270017949785	0.8016143802552333	0.17418209780127838	0.04107402554984818	0.0032050321719345313	0.0050654903201441896	0.9170795977260315
62600	1	5.507950095138986	0.8012109022111944	0.17463345020041623	0.04263947163041673	0.008680600237152463	0.001816469751834681	0.9171271984148962
62620	1	5.506064064822981	0.8009688626785455	0.18786444894621843	0.04488461353852096	0.004475733626785154	0.008217393911239075	0.9171747717784502
62640	1	5.495183547429106	0.8005819278796894	0.20263541683617672	0.04837462512572293	0.007687722528124796	0.004541939933440062	0.9172223178323796
62660	1	5.489536587358646	0.8000546044305117	0.23450874737169558	0.0549671093050678	0.0021844810638724523	0.0026222298090368312	0.9172698365923653
62680	1	5.460202972690395	0.799036882092353	0.25421148606270305	0.06323964737477622	0.01180330112924052	0.006289522179184297	0.9173173280740755
62700	1	5.4448938078702005	0.7976431952218594	0.2571965430081112	0.06328110906470445	0.002798043470368773	0.003908989960593248	0.9173647922931655
62720	1	5.434255278062511	0.7967602214246945	0.2272333635438154	0.060006338960219556	0.02718389412884956	0.007006821115310947	0.9174122292652876
62740	1	5.431031715624171	0.7959883185194269	0.2361754547517232	0.059610910005936844	0.026413663863797333	0.011004034385800167	0.9174596390060857
62760	1	5.424651601126327	0.7956547269128387	0.24435769695883036	0.05933274535141316	0.02982529394369216	0.015694370545141535	0.9175070215311854
62780	1	5.432982092916337	0.7958235146891486	0.26541114262562576	0.06372652163952426	0.01292823544104171	0.013203276622878317	0.9175543768562177
62800	1	5.433652152718523	0.7955446940582319	0.27045497820439285	0.06809469038148015	0.01204525148716778	0.0100663348812247	0.9176017049967915
62820	1	5.429376241357449	0.7957257787661148	0.2845439779523146	0.06854746691145931	0.0024384434553658524	0.0029904224154865735	0.9176490059685123
62840	1	5.4341428980318085	0.7955818131356575	0.2800411996974992	0.07048700876418802	0.018200577115485863	0.008994999965581769	0.9176962797869793
62860	1	5.45961343565112	0.7962255882355747	0.26418948855156454	0.06995931595668035	0.02506108868450234	0.013002572514274053	0.9177435264677789
62880	1	5.46961792776644	0.7975224783507876	0.2520692055814776	0.06352868000563709	0.014350791342550292	0.011432157324017195	0.917790746026487
62900	1	5.485045550654075	0.7985498921756956	0.2703110734950026	0.06601680541562653	0.007340793639579582	0.004457194325604338	0.9178379384786783
62920	1	5.486785291963606	0.7991774971007967	0.27064334657557765	0.06715811589851499	0.003959230618613318	0.0029499971152305727	0.9178851038399088
62940	1	5.487222460317203	0.7993636509278871	0.2670991506961411	0.06745522003007305	0.0012747579713635296	0.0014313714650955617	0.917932242125732
62960	1	5.489388322219354	0.7997735784007043	0.29318554220905535	0.0701929458955776	0.015174403553759545	0.003048350237262959	0.9179793533516909
62980	1	5.4971331138336	0.8000943513042501	0.31523506637528503	0.07564965923364975	0.0068279658873118656	0.006164032050687745	0.9180264375333196
63000	1	5.4972155826606635	0.8000974669524069	0.3175398551433351	0.07719116841300903	0.0013325635053039883	0.0032979479876700337	0.9180734946861383
63020	1	5.498246493342882	0.7999493578983152	0.33916821627700316	0.08241616838416893	0	0.0011731443510235387	0.9181205248256701
63040	1	5.516835187801891	0.8007816990517403	0.3313252418401725	0.08259727948080886	0.009390998464140656	0.002021774778159612	0.9181675279674167
63060	1	5.516397599240678	0.8011871569755825	0.3570891814048207	0.08776435659725255	0.009613737807051041	0.0031731137703209446	0.9182145041268797
63080	1	5.540457188848989	0.8018569212136658	0.3556871874838578	0.08791163281070231	0.004404897225118107	0.0027324312648318353	0.9182614533195478
