time	hypnogram	wake_F	wake_C	NREM_F	NREM_C	REM_F	REM_C	H
1500	1	5.625443975440253	0.8095858863890074	0.00033599855465044217	8.395492797727147e-05	1.4996056052615618e-14	8.883148587495078e-15	0.5210760692779185
1510	1	5.623996557220145	0.8094844280161012	0.0003362138287162023	8.40027690530245e-05	1.28643269177017e-14	7.604642700666115e-15	0.5212135528224672
1520	1	5.622558754298893	0.809383595784842	0.0003364525368363535	8.405655759373626e-05	1.1059857162580174e-14	6.522410832300324e-15	0.521350996899944
1530	1	5.621130502548148	0.8092833861354344	0.00033671433093557983	8.411620514871612e-05	9.53240649175195e-15	5.6063213336344476e-15	0.5214884015216789
1540	1	5.619711738269264	0.8091837955241026	0.0003369988685408834	8.418162469101724e-05	8.239447413223931e-15	4.830868314649566e-15	0.5216257666989977
1550	1	5.618302398190296	0.8090848204230845	0.0003373058126910057	8.425273059440707e-05	7.144981182218548e-15	4.174461505567604e-15	0.5217630924432244
1560	1	5.616902419463183	0.8089864573206107	0.00033763483184734265	8.432943861072155e-05	6.2185355191625834e-15	3.61882513758596e-15	0.5219003787656787
1570	1	5.615511739660829	0.8088887027208997	0.0003379855998063282	8.441166584759066e-05	5.434316196281518e-15	3.1484891064048987e-15	0.5220376256776781
1580	1	5.614130296774289	0.8087915531441379	0.00033835779561326956	8.449933074653283e-05	4.770488871156597e-15	2.750358251452539e-15	0.5221748331905347
1590	1	5.612758029209921	0.8086950051264612	0.00033875110347760423	8.459235306141143e-05	4.241524803659734e-15	2.418395056393251e-15	0.5223120013155594
1600	1	5.611394875786549	0.8085990552199442	0.00033916521268955157	8.469065383724639e-05	3.803422636627214e-15	2.147444594347128e-15	0.5224491300640618
1610	1	5.6100407757326956	0.8085036999925782	0.0003395998175381466	8.479415538937563e-05	3.4325771585992106e-15	1.9220137587504317e-15	0.5225862194473413
1620	1	5.608695668683836	0.8084089360282528	0.0003400546172306201	8.490278128296127e-05	3.1186632386901776e-15	1.732634153771317e-15	0.5227232694767009
1630	1	5.607359494679589	0.8083147599267376	0.00034052931581311574	8.501645631283298e-05	2.8529408422984003e-15	1.5728588048151215e-15	0.522860280163438
1640	1	5.606032194161007	0.8082211683036616	0.00034102362209270757	8.513510648366428e-05	2.6280116898586223e-15	1.4378072452828925e-15	0.5229972515188459
1650	1	5.6047137079678535	0.8081281577904919	0.00034153724956070955	8.525865899047611e-05	2.4376132729232136e-15	1.3235604347378784e-15	0.523134183554213
1660	1	5.603403977335934	0.8080357250345042	0.00034206991631724313	8.538704219946125e-05	2.2764444925392825e-15	1.226879035698597e-15	0.5232710762808302
1670	1	5.602102943894377	0.8079438666987725	0.0003426213449970597	8.552018562912573e-05	2.1400180653213724e-15	1.145049724350421e-15	0.5234079297099806
1680	1	5.600810549662996	0.8078525794621362	0.0003431912626965721	8.565801993174075e-05	2.02453558788929e-15	1.0757862857570017e-15	0.5235447438529448
1690	1	5.599526737049641	0.8077618600191722	0.00034377940090209885	8.580047687510051e-05	1.9267817811979368e-15	1.0171573670657615e-15	0.5236815187209997
1700	1	5.598251448847589	0.8076717050801824	0.00034438549541928465	8.594748932458016e-05	1.844034970295218e-15	9.675295430763097e-16	0.5238182543254225
1710	1	5.596984628232927	0.8075821113711514	0.00034500928630368705	8.609899122548997e-05	1.7739913070730847e-15	9.255206751624355e-16	0.5239549506774833
1720	1	5.595726218761976	0.8074930756337316	0.00034565051779250486	8.625491758571983e-05	1.714700626211157e-15	8.899610017237784e-16	0.5240916077884497
1730	1	5.594476164368672	0.8074045946252103	0.00034630893823742875	8.641520445866993e-05	1.6645121484052137e-15	8.598604121234089e-16	0.5242282256695864
1740	1	5.593234409362097	0.8073166651184804	0.00034698430003860117	8.657978892646157e-05	1.6220285191424052e-15	8.343808219872961e-16	0.5243648043321569
